latitude,longitude,city,country,max_temp,humidity,cloudiness,wind_speed,url
62.736848952546666,-108.46267047673398,yellowknife,ca,17.6,85,5,5.82,https://api.openweathermap.org/data/2.5/weather?appid=1a119b60aa2d2168135e19bbc9b07aa9&q=yellowknife&units=imperial
-43.48143822053362,162.6080426446004,te anau,nz,52.48,64,68,11.68,https://api.openweathermap.org/data/2.5/weather?appid=1a119b60aa2d2168135e19bbc9b07aa9&q=te%20anau&units=imperial
82.13996947539513,-43.631184181548946,ilulissat,gl,10.4,43,64,3.36,https://api.openweathermap.org/data/2.5/weather?appid=1a119b60aa2d2168135e19bbc9b07aa9&q=ilulissat&units=imperial
35.36547072960349,-124.72732907025838,pacific grove,us,57.2,81,1,3.36,https://api.openweathermap.org/data/2.5/weather?appid=1a119b60aa2d2168135e19bbc9b07aa9&q=pacific%20grove&units=imperial
-64.71147577627771,-65.39601261978494,ushuaia,ar,39.2,100,0,10.29,https://api.openweathermap.org/data/2.5/weather?appid=1a119b60aa2d2168135e19bbc9b07aa9&q=ushuaia&units=imperial
-10.062843673026492,121.06371339135819,waingapu,id,86.36,66,56,4.29,https://api.openweathermap.org/data/2.5/weather?appid=1a119b60aa2d2168135e19bbc9b07aa9&q=waingapu&units=imperial
15.252912116679312,173.051699536993,butaritari,ki,83.53,100,64,6.42,https://api.openweathermap.org/data/2.5/weather?appid=1a119b60aa2d2168135e19bbc9b07aa9&q=butaritari&units=imperial
-4.105537867113199,-77.31167973703974,barranca,pe,60.44,100,88,9.55,https://api.openweathermap.org/data/2.5/weather?appid=1a119b60aa2d2168135e19bbc9b07aa9&q=barranca&units=imperial
-83.38782691586859,-168.49400239396118,vaini,to,82.67,82,8,3.85,https://api.openweathermap.org/data/2.5/weather?appid=1a119b60aa2d2168135e19bbc9b07aa9&q=vaini&units=imperial
-80.74838183204567,-82.02611093568919,ushuaia,ar,39.2,100,0,10.29,https://api.openweathermap.org/data/2.5/weather?appid=1a119b60aa2d2168135e19bbc9b07aa9&q=ushuaia&units=imperial
24.76016958301443,-81.58108380845106,key west,us,55.4,75,1,9.17,https://api.openweathermap.org/data/2.5/weather?appid=1a119b60aa2d2168135e19bbc9b07aa9&q=key%20west&units=imperial
-33.4555940689803,35.06327563844627,port shepstone,za,64.45,100,0,8.55,https://api.openweathermap.org/data/2.5/weather?appid=1a119b60aa2d2168135e19bbc9b07aa9&q=port%20shepstone&units=imperial
-4.9121283197798675,151.18812819054426,kokopo,pg,80.78,100,64,2.62,https://api.openweathermap.org/data/2.5/weather?appid=1a119b60aa2d2168135e19bbc9b07aa9&q=kokopo&units=imperial
-39.789279539339034,-63.255187242796396,viedma,ar,49.1,74,92,10.78,https://api.openweathermap.org/data/2.5/weather?appid=1a119b60aa2d2168135e19bbc9b07aa9&q=viedma&units=imperial
-28.544169994768886,120.83932980896407,northam,au,44.6,100,20,1.12,https://api.openweathermap.org/data/2.5/weather?appid=1a119b60aa2d2168135e19bbc9b07aa9&q=northam&units=imperial
48.50101323901882,-16.830089368460904,dingle,ie,80.83,95,20,4.63,https://api.openweathermap.org/data/2.5/weather?appid=1a119b60aa2d2168135e19bbc9b07aa9&q=dingle&units=imperial
28.50427854958265,-95.41765696391398,freeport,us,81.32,100,68,14.92,https://api.openweathermap.org/data/2.5/weather?appid=1a119b60aa2d2168135e19bbc9b07aa9&q=freeport&units=imperial
-73.2393087517158,0.7318959345324458,hermanus,za,56.35,84,80,5.19,https://api.openweathermap.org/data/2.5/weather?appid=1a119b60aa2d2168135e19bbc9b07aa9&q=hermanus&units=imperial
35.537762469895824,-164.69906128036146,kapaa,us,75.2,73,20,8.05,https://api.openweathermap.org/data/2.5/weather?appid=1a119b60aa2d2168135e19bbc9b07aa9&q=kapaa&units=imperial
38.200314910015464,-9.97040568328157,cascais,pt,60.8,82,0,6.93,https://api.openweathermap.org/data/2.5/weather?appid=1a119b60aa2d2168135e19bbc9b07aa9&q=cascais&units=imperial
